task_en,tugas,jatuh_tempo_hari,durasi_jam,tingkat_kepentingan_1_10,notes_en,catatan
clean up project folder,rapikan folder project,20,0.4,5,,
write abstract for paper,tulis abstrak paper,7,1,9,,
clean bathroom sink,bersihkan wastafel kamar mandi,2,0.4,7,,
dust ceiling fan,bersihkan debu kipas langit-langit,13,0.2,4,,
buy laundry detergent,beli deterjen,16,0.5,8,,
empty trash in bathroom,buang sampah di kamar mandi,3,0.1,7,,
clip toenails,potong kuku kaki,7,0.25,4,,
pack gym bag,siapkan tas gym,1,0.1,2,,
take a nap,tidur siang,-1,0.5,3,,
make pasta,masak pasta,4,0.5,5,,
prep salad,siapkan salad,1,0.2,6,,
organize spice rack,rapikan rak bumbu,-1,0.25,1,,
roast vegetables,panggang sayuran,2,0.4,5,,
listen to the playlist my friend sent me,dengarkan playlist kiriman teman,-1,0.75,3,,
make a pinterest board,buat board pinterest,-1,1,1,,
send venmo request for dinner,kirim permintaan pembayaran venmo untuk makan malam,4,0.1,9,,
schedule brunch with friends,atur jadwal brunch dengan teman,3,0.2,6,,
do class reading,baca bacaan kuliah,7,0.5,7,,
schedule meeting with advisor,atur jadwal bertemu dosen pembimbing,18,0.1,8,,
wash my coffee mug,cuci gelas kopi,1,0.1,8,,
throw out junk mail,buang surat sampah/junk mail,-1,0.15,1,,
make my bed,rapikan tempat tidur,0,0.1,3,,
wash makeup bag,cuci tas makeup,2,0.2,4,,
take a walk in the park,jalan-jalan di taman,-1,0.75,1,,
wipe down fridge drawers,lap laci kulkas,3,0.25,4,,
boil eggs,merebus telur,1,0.1,5,,
practice photography,latihan fotografi,-1,1,2,,
try the chiffon cake recipe,coba resep chiffon cake,-1,1,1,,
make spring break instagram post,buat post instagram spring break,-1,0.5,1,,
cut my bangs,potong poni,-1,0.25,2,,
take space robotics quiz,kerjakan kuis space robotics,4,0.25,10,,
take modern control theory take home exam,kerjakan ujian take home modern control theory,2,1.5,10,,
send out booth when2meet,kirim link when2meet untuk booth,1,0.2,8,,
update excel sheet with data,update data di excel,1,0.4,9,,
revise intro paragraph for research paper,revisi paragraf pembuka paper riset,4,0.5,8,,
replace kitchen trash bag,ganti kantong sampah dapur,0,0.1,7,,
fold bed sheets,lipat seprai,1,0.1,7,,
write in my journal,tulis di jurnal/diary,-1,0.25,1,,
write weekly goals,tulis target mingguan,2,0.2,1,,
buy frozen dumplings,beli dumpling beku,-1,0.5,3,,
marinate chicken,marinasi ayam,1,0.4,5,,
make hot tea,buat teh hangat,-1,0.15,4,,
make matcha,buat matcha,-1,0.15,4,,
buy matcha,beli matcha,-1,0.5,4,,
plan trip to the museum,rencanakan trip ke museum,-1,0.4,2,,
text my aunt back,balas chat tante,2,0.1,6,,
buy a new puzzle,beli puzzle baru,-1,0.5,1,,
delete old notes,hapus catatan lama,-1,0.75,2,,
throw out expired makeup,buang makeup kedaluwarsa,5,0.3,6,,
read a chapter of kindle book,baca satu bab buku di kindle,-1,0.3,1,,
vacuum room,vacuum ruangan,-1,0.5,2,"room is dirty, dust on floor","kamar kotor, ada debu di lantai"
finish feedback control systems homework 2 as soon as possible,selesaikan PR feedback control systems nomor 2 secepatnya,1,4,7,behind due to sickness,tertinggal karena sakit
update linkedin descriptions,update deskripsi linkedin,-1,3,4,need to prep for career fair,perlu persiapan untuk career fair
pay rent and utilities,bayar sewa dan tagihan utilitas,7,0.25,9,,
pay credit card bill,bayar tagihan kartu kredit,7,0.25,10,,
put oil in my hair,oleskan minyak ke rambut,-1,0.18,1,want to leave oil overnight,ingin diamkan minyak semalaman
drink water,minum air,-1,0.08,4,i am dehydrated,sedang dehidrasi
finsih ai/ml homeowork 2,selesaikan PR ai/ml nomor 2,1,4,9,deadline is 12 pm and i got an extension,deadline jam 12 siang dan sudah dapat perpanjangan
charge phone for a few hours,cas HP beberapa jam,-1,0.08,5,phone is always dead because i forget to charge it,HP sering habis baterai karena lupa dicas
update resume,update CV,2,2.5,6,need to apply to jobs,perlu melamar kerja
finish feedback control systems homework 3 as soon as possible,selesaikan PR feedback control systems nomor 3 secepatnya,1,4,10,behind due to appendicitis,tertinggal karena radang usus buntu
make choreography with fran,buat koreografi bersama fran,0,1.5,6,this event happens weekly,acara ini terjadi setiap minggu
finish feedback control systems homework 4 as soon as possible,selesaikan PR feedback control systems nomor 4 secepatnya,1,4,6,behind due to surgery,tertinggal karena operasi
write experiment 2 results section of lab report,tulis bagian hasil eksperimen 2 di laporan praktikum,3,6,8,long lab report need to analyze data,"laporan praktikum panjang, perlu analisis data"
attend birthday party,menghadiri pesta ulang tahun,3,3,3,"21st birthday party at night, need to dress in black","pesta ulang tahun ke-21 malam hari, perlu pakai baju hitam"
complete portion of mechanical system experimentation lab report,selesaikan bagian laporan praktikum sistem mekanik,5,4,8,"very long lab report, additional sections need to be completed","laporan praktikum sangat panjang, ada bagian tambahan yang perlu diselesaikan"
attend themed party,menghadiri pesta bertema,4,3,1,may skip and not attend,mungkin akan dilewati/tidak hadir
make bed,rapikan tempat tidur,0,0.08,4,just upkeep,sekadar perawatan rutin
do laundry,cuci baju,-1,3,7,i am going to run out of clothes eventually,baju akan habis kalau tidak segera dicuci
take out the trash,buang sampah,1.5,0.25,3,garbage bag is going to get full,kantong sampah akan segera penuh
fold my clothes,lipat baju,0.5,1,2,the clothes are piling on my chair right now,baju sedang menumpuk di kursi
go to get eyebrows threaded,threading alis,12,0.75,5,need to get them done before it gets too bad,perlu diselesaikan sebelum makin parah
complete ai/ml homework 3,selesaikan PR ai/ml nomor 3,6,6,8,deadline is on monday but have other assignments to complete,deadline hari senin tapi ada tugas lain yang harus diselesaikan
buy clothes for society of women engineers conference,beli baju untuk konferensi society of women engineers,21,2,6,need to shop in advance,perlu belanja lebih awal
buy flight tickets to go home for fall break,beli tiket pesawat pulang untuk fall break,2,0.5,7,tickets are getting expensive fast,harga tiket cepat naik
email recruiter about job availability,kirim email ke recruiter soal ketersediaan lowongan,-1,0.5,9,,
fill out booth forms,isi formulir booth,1,1,4,,
apply to job posting on handshake,melamar lowongan kerja di handshake,40,1,8,,
schedule dentist appointment for next month,buat janji dokter gigi bulan depan,21,2,4,,
meal prep curry on sunday,meal prep kari di hari minggu,5,0.1,5,,
get indan travel visa,urus visa perjalanan india,35,1.5,9,,
practice fran and kate's dances,latihan tarian bersama fran dan kate,2,6,3,,
finish reading science fiction books i bought,selesaikan baca buku fiksi ilmiah yang sudah dibeli,75,20,1,,
cancel unused subscriptions,batalkan langganan yang tidak dipakai,6,1,5,,
email landlord about missing water filter on faucet,kirim email ke pemilik kos soal filter air keran yang hilang,-1,0.1,8,,
pay back roommate for electricity bill,bayar kembali tagihan listrik ke teman sekamar,6,0.2,7,,
skim and review syllabus to prepare,baca sekilas dan review silabus untuk persiapan,-1,0.3,6,,
work with friends on take home exam,kerjakan ujian take home bersama teman,4,8,9,,
defrost ground chicken for dinner,cairkan daging ayam giling beku untuk makan malam,0,0.05,3,,
update github with code from homeworks and labs,update github dengan kode dari tugas dan praktikum,-1,1,7,,
call health insurance to confirm hospital visit cost coverage,telepon asuransi kesehatan untuk konfirmasi biaya kunjungan rumah sakit,0,0.5,10,,
plan spring break trip,rencanakan trip spring break,55,1.5,3,,
take multi vitamins,minum multivitamin,0,0.1,4,,
put on sunscreen,pakai sunscreen,0,0.1,7,,
create spending budget for october,buat anggaran pengeluaran bulan oktober,7,1,8,,
"return jeans, got the wrong pair","kembalikan jeans, salah ukuran",3,3,9,,
