"judul","deskripsi","langkah","kategori","language","sumber"
"Baca catatan kuliah","review catatan dari kelas yang baru lewat","Buka catatan mata kuliah yang mau dibaca|Lihat judul-judulnya dan tandai 3 topik terpenting|Baca satu topik dulu sampai paham|Tulis bagian yang masih belum ngerti|Coba jelasin ulang pakai bahasa sendiri","Akademik","id","terjemahan"
"Belajar buat ujian","siapin diri buat ujian yang mau datang","Buka silabus atau grup kelas dan tulis daftar topik yang bakal diujiin|Tandai topik yang paling nggak dikuasai|Belajar satu topik yang paling lemah dulu|Kerjain beberapa soal latihan|Cek yang salah dan catat","Akademik","id","terjemahan"
"Belajar satu bab","pelajari satu bab dari buku","Buka bab yang mau dipelajari|Baca judul dan tujuan pembelajarannya|Baca satu subbab sambil catat poin utamanya|Jawab soal review di akhir bab|Tulis ringkasan 5 baris","Akademik","id","terjemahan"
"Bikin flashcard","bikin kartu hafalan buat belajar","Buka catatan kuliah dan tandai 5 istilah pertama yang mau dihafal|Bikin 5 kartu dulu dari poin terpenting|Tambahin sampai semua poin kecover|Uji diri pakai kartunya|Pisahin yang masih salah buat diulang","Akademik","id","terjemahan"
"Latihan soal matematika","ngerjain soal latihan matematika","Buka buku atau lembar soalnya|Kerjain 1 nomor yang paling gampang|Lanjut 4 nomor berikutnya|Cek jawaban pakai kunci|Ulang yang salah sambil lihat caranya","Akademik","id","terjemahan"
"Latihan koding","latihan ngoding buat tugas atau skill","Buka editor dan file yang mau dikerjain|Jalanin kode yang udah ada dulu|Kerjain satu fungsi kecil|Tes hasilnya|Rapikan dan simpan","Akademik","id","terjemahan"
"Debug kode tugas","benerin kode yang error","Jalanin kodenya dan baca pesan errornya|Cari baris yang disebut di error|Coba perbaiki satu error dulu|Jalanin lagi buat cek|Ulangi sampai jalan","Akademik","id","terjemahan"
"Baca jurnal","baca jurnal atau paper buat referensi","Buka jurnalnya dan baca abstraknya|Baca kesimpulannya|Tandai bagian yang relevan sama topik kamu|Catat 3 poin penting|Simpan sitasinya","Akademik","id","terjemahan"
"Cari referensi","nyari sumber buat tugas atau skripsi","Tulis kata kunci pencarian|Cari di Google Scholar atau repositori kampus|Simpan 3 sumber yang paling nyambung|Baca abstraknya satu-satu|Catat mana yang layak dipakai","Akademik","id","terjemahan"
"Bikin daftar pustaka","nyusun daftar pustaka","Buka draf tulisan dan salin 3 sumber pertama yang udah dikutip ke dokumen baru|Cek format sitasi yang diminta|Tulis satu entri dulu sesuai format|Lanjutin sisanya|Urutin sesuai aturan","Akademik","id","terjemahan"
