row_id,judul,deskripsi,langkah,kategori,language,sumber,judul_raw,langkah_raw,jumlah_langkah,langkah_pertama,quality_flag,ada_di_file_en,source_group_id,data_source,source_dataset,source_row_id,license,created_at,panjang_langkah_rata,english_source_row_ids,english_source_count,english_mapping_type
dec_id_0000,Baca catatan kuliah,review catatan dari kelas yang baru lewat,Buka catatan mata kuliah yang mau dibaca|Lihat judul-judulnya dan tandai 3 topik terpenting|Baca satu topik dulu sampai paham|Tulis bagian yang masih belum ngerti|Coba jelasin ulang pakai bahasa sendiri,Akademik,id,terjemahan,Baca catatan kuliah,Buka catatan mata kuliah yang mau dibaca|Lihat judul-judulnya dan tandai 3 topik terpenting|Baca satu topik dulu sampai paham|Tulis bagian yang masih belum ngerti|Coba jelasin ulang pakai bahasa sendiri,5,Buka catatan mata kuliah yang mau dibaca,,0,dgrp_fbe3e7c7,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,39.6,0,1,existing_indonesian_translation
dec_id_0001,Belajar buat ujian,siapin diri buat ujian yang mau datang,Buka silabus atau grup kelas dan tulis daftar topik yang bakal diujiin|Tandai topik yang paling nggak dikuasai|Belajar satu topik yang paling lemah dulu|Kerjain beberapa soal latihan|Cek yang salah dan catat,Akademik,id,terjemahan,Belajar buat ujian,Buka silabus atau grup kelas dan tulis daftar topik yang bakal diujiin|Tandai topik yang paling nggak dikuasai|Belajar satu topik yang paling lemah dulu|Kerjain beberapa soal latihan|Cek yang salah dan catat,5,Buka silabus atau grup kelas dan tulis daftar topik yang bakal diujiin,,0,dgrp_afece5af,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,40.6,1,1,existing_indonesian_translation
dec_id_0002,Belajar satu bab,pelajari satu bab dari buku,Buka bab yang mau dipelajari|Baca judul dan tujuan pembelajarannya|Baca satu subbab sambil catat poin utamanya|Jawab soal review di akhir bab|Tulis ringkasan 5 baris,Akademik,id,terjemahan,Belajar satu bab,Buka bab yang mau dipelajari|Baca judul dan tujuan pembelajarannya|Baca satu subbab sambil catat poin utamanya|Jawab soal review di akhir bab|Tulis ringkasan 5 baris,5,Buka bab yang mau dipelajari,kontaminasi_inggris:review,0,dgrp_de07b694,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,32.2,2,1,existing_indonesian_translation
dec_id_0003,Bikin flashcard,bikin kartu hafalan buat belajar,Buka catatan kuliah dan tandai 5 istilah pertama yang mau dihafal|Bikin 5 kartu dulu dari poin terpenting|Tambahin sampai semua poin kecover|Uji diri pakai kartunya|Pisahin yang masih salah buat diulang,Akademik,id,terjemahan,Bikin flashcard,Buka catatan kuliah dan tandai 5 istilah pertama yang mau dihafal|Bikin 5 kartu dulu dari poin terpenting|Tambahin sampai semua poin kecover|Uji diri pakai kartunya|Pisahin yang masih salah buat diulang,5,Buka catatan kuliah dan tandai 5 istilah pertama yang mau dihafal,,0,dgrp_bf3932dc,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,39.6,3,1,existing_indonesian_translation
dec_id_0004,Latihan soal matematika,ngerjain soal latihan matematika,Buka buku atau lembar soalnya|Kerjain 1 nomor yang paling gampang|Lanjut 4 nomor berikutnya|Cek jawaban pakai kunci|Ulang yang salah sambil lihat caranya,Akademik,id,terjemahan,Latihan soal matematika,Buka buku atau lembar soalnya|Kerjain 1 nomor yang paling gampang|Lanjut 4 nomor berikutnya|Cek jawaban pakai kunci|Ulang yang salah sambil lihat caranya,5,Buka buku atau lembar soalnya,,0,dgrp_a2355a96,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,29.8,4,1,existing_indonesian_translation
dec_id_0005,Latihan koding,latihan ngoding buat tugas atau skill,Buka editor dan file yang mau dikerjain|Jalanin kode yang udah ada dulu|Kerjain satu fungsi kecil|Tes hasilnya|Rapikan dan simpan,Akademik,id,terjemahan,Latihan koding,Buka editor dan file yang mau dikerjain|Jalanin kode yang udah ada dulu|Kerjain satu fungsi kecil|Tes hasilnya|Rapikan dan simpan,5,Buka editor dan file yang mau dikerjain,,0,dgrp_9c15d9dd,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,25.0,5,1,existing_indonesian_translation
dec_id_0006,Debug kode tugas,benerin kode yang error,Jalanin kodenya dan baca pesan errornya|Cari baris yang disebut di error|Coba perbaiki satu error dulu|Jalanin lagi buat cek|Ulangi sampai jalan,Akademik,id,terjemahan,Debug kode tugas,Jalanin kodenya dan baca pesan errornya|Cari baris yang disebut di error|Coba perbaiki satu error dulu|Jalanin lagi buat cek|Ulangi sampai jalan,5,Jalanin kodenya dan baca pesan errornya,,0,dgrp_1f6b453a,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,28.0,6,1,existing_indonesian_translation
dec_id_0007,Baca jurnal,baca jurnal atau paper buat referensi,Buka jurnalnya dan baca abstraknya|Baca kesimpulannya|Tandai bagian yang relevan sama topik kamu|Catat 3 poin penting|Simpan sitasinya,Akademik,id,terjemahan,Baca jurnal,Buka jurnalnya dan baca abstraknya|Baca kesimpulannya|Tandai bagian yang relevan sama topik kamu|Catat 3 poin penting|Simpan sitasinya,5,Buka jurnalnya dan baca abstraknya,,1,dgrp_6c02178b,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,26.0,"7,197",2,exact_existing_indonesian_pattern|existing_indonesian_translation
dec_id_0008,Cari referensi,nyari sumber buat tugas atau skripsi,Tulis kata kunci pencarian|Cari di Google Scholar atau repositori kampus|Simpan 3 sumber yang paling nyambung|Baca abstraknya satu-satu|Catat mana yang layak dipakai,Akademik,id,terjemahan,Cari referensi,Tulis kata kunci pencarian|Cari di Google Scholar atau repositori kampus|Simpan 3 sumber yang paling nyambung|Baca abstraknya satu-satu|Catat mana yang layak dipakai,5,Tulis kata kunci pencarian,,0,dgrp_707c962e,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,32.2,8,1,existing_indonesian_translation
dec_id_0009,Bikin daftar pustaka,nyusun daftar pustaka,Buka draf tulisan dan salin 3 sumber pertama yang udah dikutip ke dokumen baru|Cek format sitasi yang diminta|Tulis satu entri dulu sesuai format|Lanjutin sisanya|Urutin sesuai aturan,Akademik,id,terjemahan,Bikin daftar pustaka,Buka draf tulisan dan salin 3 sumber pertama yang udah dikutip ke dokumen baru|Cek format sitasi yang diminta|Tulis satu entri dulu sesuai format|Lanjutin sisanya|Urutin sesuai aturan,5,Buka draf tulisan dan salin 3 sumber pertama yang udah dikutip ke dokumen baru,,0,dgrp_0a100c33,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,35.8,9,1,existing_indonesian_translation
dec_id_0010,Nulis tinjauan pustaka,nulis bab tinjauan pustaka,Buka folder referensi dan salin 3 judul sumber pertama ke dokumen kerja|Kelompokin sumber per tema|Tulis 1 paragraf buat tema pertama|Lanjut tema berikutnya|Sambungin jadi satu alur,Akademik,id,terjemahan,Nulis tinjauan pustaka,Buka folder referensi dan salin 3 judul sumber pertama ke dokumen kerja|Kelompokin sumber per tema|Tulis 1 paragraf buat tema pertama|Lanjut tema berikutnya|Sambungin jadi satu alur,5,Buka folder referensi dan salin 3 judul sumber pertama ke dokumen kerja,,0,dgrp_69aa8a93,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,35.4,10,1,existing_indonesian_translation
dec_id_0011,Nentuin topik skripsi,milih topik buat skripsi,Tulis 3 bidang yang kamu minati|Cari tau topik apa yang lagi banyak dibahas|Cek ketersediaan data atau narasumber|Diskusiin sama dosen atau teman|Pilih satu dan tulis alasannya,Akademik,id,terjemahan,Nentuin topik skripsi,Tulis 3 bidang yang kamu minati|Cari tau topik apa yang lagi banyak dibahas|Cek ketersediaan data atau narasumber|Diskusiin sama dosen atau teman|Pilih satu dan tulis alasannya,5,Tulis 3 bidang yang kamu minati,,0,dgrp_8ed77887,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,34.4,11,1,existing_indonesian_translation
dec_id_0012,Siapin bimbingan,nyiapin bahan buat ketemu dosen pembimbing,Buka progres terakhir yang udah dikerjain|Tulis apa yang udah selesai|Tulis 3 pertanyaan yang mau ditanyain|Siapin file yang perlu ditunjukin|Konfirmasi jadwal ketemunya,Akademik,id,terjemahan,Siapin bimbingan,Buka progres terakhir yang udah dikerjain|Tulis apa yang udah selesai|Tulis 3 pertanyaan yang mau ditanyain|Siapin file yang perlu ditunjukin|Konfirmasi jadwal ketemunya,5,Buka progres terakhir yang udah dikerjain,,0,dgrp_8699b761,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,33.0,12,1,existing_indonesian_translation
dec_id_0013,Bikin rencana penelitian,nyusun rencana penelitian,Buka draf proposal dan tulis satu kalimat soal masalah utama yang mau kamu jawab|Tentuin metode yang mau dipakai|Bikin timeline kasar per bulan|Tulis alat atau data yang dibutuhin|Cek ulang kelayakannya,Akademik,id,terjemahan,Bikin rencana penelitian,Buka draf proposal dan tulis satu kalimat soal masalah utama yang mau kamu jawab|Tentuin metode yang mau dipakai|Bikin timeline kasar per bulan|Tulis alat atau data yang dibutuhin|Cek ulang kelayakannya,5,Buka draf proposal dan tulis satu kalimat soal masalah utama yang mau kamu jawab,,0,dgrp_78642515,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,39.6,13,1,existing_indonesian_translation
dec_id_0014,Nulis abstrak,nulis abstrak buat paper atau skripsi,Buka bagian pendahuluan dan kesimpulan|Tulis 1 kalimat soal masalahnya|Tulis 1 kalimat soal metodenya|Tulis 1 kalimat soal hasilnya|Rapikan jadi satu paragraf utuh,Akademik,id,terjemahan,Nulis abstrak,Buka bagian pendahuluan dan kesimpulan|Tulis 1 kalimat soal masalahnya|Tulis 1 kalimat soal metodenya|Tulis 1 kalimat soal hasilnya|Rapikan jadi satu paragraf utuh,5,Buka bagian pendahuluan dan kesimpulan,,0,dgrp_44c6bbf6,original,task_decomposition_en.csv (translated),,unknown (project-internal),2026-08-12,31.8,14,1,existing_indonesian_translation
