row_id,task_en,tugas,tugas_raw,task_en_raw,jatuh_tempo_hari,ada_tenggat,tenggat_hari,durasi_jam,durasi_menit,tingkat_kepentingan_1_10,notes_en,catatan,quality_flag,label_review_needed,source_group_id,data_source,source_dataset,source_row_id,upstream_match,label_provenance,license,created_at
dur_0000,clean up project folder,rapikan folder project,rapikan folder project,clean up project folder,20.0,1,20.0,0.4,24.0,5,,,,0,grp_a2c49f90fe,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0001,write abstract for paper,tulis abstrak paper,tulis abstrak paper,write abstract for paper,7.0,1,7.0,1.0,60.0,9,,,,0,grp_c0b94a98d1,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0002,clean bathroom sink,bersihkan wastafel kamar mandi,bersihkan wastafel kamar mandi,clean bathroom sink,2.0,1,2.0,0.4,24.0,7,,,,0,grp_7417c02c3b,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0003,dust ceiling fan,bersihkan debu kipas langit-langit,bersihkan debu kipas langit-langit,dust ceiling fan,13.0,1,13.0,0.2,12.0,4,,,,0,grp_0b9b4c3e92,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0004,buy laundry detergent,beli deterjen,beli deterjen,buy laundry detergent,16.0,1,16.0,0.5,30.0,8,,,,0,grp_e4f94600d5,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0005,empty trash in bathroom,buang sampah di kamar mandi,buang sampah di kamar mandi,empty trash in bathroom,3.0,1,3.0,0.1,6.0,7,,,,0,grp_46f12677e0,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0006,clip toenails,potong kuku kaki,potong kuku kaki,clip toenails,7.0,1,7.0,0.25,15.0,4,,,,0,grp_30438bcca5,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0007,pack gym bag,siapkan tas gym,siapkan tas gym,pack gym bag,1.0,1,1.0,0.1,6.0,2,,,,0,grp_8c9d9db8c5,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0008,take a nap,tidur siang,tidur siang,take a nap,-1.0,0,,0.5,30.0,3,,,,0,grp_607ad48a73,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0009,make pasta,masak pasta,masak pasta,make pasta,4.0,1,4.0,0.5,30.0,5,,,,0,grp_e53a9be247,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0010,prep salad,siapkan salad,siapkan salad,prep salad,1.0,1,1.0,0.2,12.0,6,,,,0,grp_2c158d4d69,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0011,organize spice rack,rapikan rak bumbu,rapikan rak bumbu,organize spice rack,-1.0,0,,0.25,15.0,1,,,,0,grp_47f19a7fd1,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0012,roast vegetables,panggang sayuran,panggang sayuran,roast vegetables,2.0,1,2.0,0.4,24.0,5,,,,0,grp_2a6fa3c136,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0013,listen to the playlist my friend sent me,dengarkan playlist kiriman teman,dengarkan playlist kiriman teman,listen to the playlist my friend sent me,-1.0,0,,0.75,45.0,3,,,,0,grp_fc6ab62606,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
dur_0014,make a pinterest board,buat board pinterest,buat board pinterest,make a pinterest board,-1.0,0,,1.0,60.0,1,,,,0,grp_0b4148553b,original,huggingface:samder03/Project1,,unverified,human_estimated,MIT,2026-08-12
