experiment_id,feature_config,target_transform,model_name,selected_within_configuration,selected_final_by_cv,cv_rmse_mean,cv_rmse_std,test_mae,test_rmse,test_r2,test_median_absolute_error,test_within_10_percent,test_within_20_percent,test_within_30_percent,cv_time_seconds,training_time_seconds,model_size_bytes,cold_load_ms,warm_inference_mean_ms,p50_inference_ms,p95_inference_ms
phase0_original__raw,phase0_original,raw,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,0.25303487699966354,0.042787877000591834,,,,,
phase0_original__raw,phase0_original,raw,decision_tree,False,False,153.66600767763185,37.817484146474854,,,,,,,,0.23983328600115783,0.04950361800001701,,,,,
phase0_original__raw,phase0_original,raw,random_forest,False,False,119.5851551269706,32.3620164508967,,,,,,,,4.591979991000699,1.1121870099996158,,,,,
phase0_original__raw,phase0_original,raw,extra_trees,False,False,121.61158335049655,34.473641715463195,,,,,,,,5.494576131999565,1.3987951150011213,,,,,
phase0_original__raw,phase0_original,raw,gradient_boosting,False,False,125.44279548772313,33.63158119367691,,,,,,,,3.4015248859996063,0.72902656900078,,,,,
phase0_original__raw,phase0_original,raw,hist_gradient_boosting,True,False,117.09755583204523,29.666255438267935,72.4945954445611,131.56691443616646,0.2979633330518998,41.233805152043544,0.06306306306306306,0.12612612612612611,0.1891891891891892,5.534412140001223,1.234326345998852,197859,56.00282199884532,8.263822824983436,7.812942000782641,12.582000350175798
phase0_original__log1p,phase0_original,log1p,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,0.2926878990001569,0.04989910299991607,,,,,
phase0_original__log1p,phase0_original,log1p,decision_tree,False,False,136.17344949101536,32.462215325085545,,,,,,,,0.26873214899933373,0.05347022400019341,,,,,
phase0_original__log1p,phase0_original,log1p,random_forest,False,False,124.64509639955288,30.92727345386045,,,,,,,,4.771911515999818,1.0277843359999679,,,,,
phase0_original__log1p,phase0_original,log1p,extra_trees,False,False,124.49560180892838,32.547285223378125,,,,,,,,5.6142547559993545,1.3202109130015742,,,,,
phase0_original__log1p,phase0_original,log1p,gradient_boosting,False,False,128.10378901497822,29.81630659701177,,,,,,,,3.3723439939985838,0.7522983270009718,,,,,
phase0_original__log1p,phase0_original,log1p,hist_gradient_boosting,True,False,120.7781778910755,30.21563671383832,59.67291748561787,131.6800182536083,0.2967557778323766,29.037801192648956,0.07207207207207207,0.16216216216216217,0.22522522522522523,8.320269838999593,2.0999474700001883,196926,57.62767299893312,9.438836129929769,9.703445499326335,15.272648149129962
clean_deadline__raw,clean_deadline,raw,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,0.31411268300144,0.07124597700021695,,,,,
clean_deadline__raw,clean_deadline,raw,decision_tree,False,False,153.338231040553,37.54768310345264,,,,,,,,0.34224414699929184,0.07454956599940488,,,,,
clean_deadline__raw,clean_deadline,raw,random_forest,False,False,119.81865563366367,32.42463013811344,,,,,,,,5.978376827999455,1.4345768219991442,,,,,
clean_deadline__raw,clean_deadline,raw,extra_trees,False,False,121.67251132933552,33.82465562568002,,,,,,,,6.251665227999183,1.239850034000483,,,,,
clean_deadline__raw,clean_deadline,raw,gradient_boosting,False,False,126.7158520081002,33.62923960453027,,,,,,,,3.1192830969994247,0.6908269010000367,,,,,
clean_deadline__raw,clean_deadline,raw,hist_gradient_boosting,True,True,117.09755583204523,29.666255438267935,72.4945954445611,131.56691443616646,0.2979633330518998,41.233805152043544,0.06306306306306306,0.12612612612612611,0.1891891891891892,4.1632685140011745,0.9630461929991725,199240,57.55137800042576,13.415151519948267,10.097009000674007,37.35839289947758
clean_deadline__log1p,clean_deadline,log1p,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,0.27445356299904233,0.044376685000315774,,,,,
clean_deadline__log1p,clean_deadline,log1p,decision_tree,False,False,136.79501365906594,32.818256915019695,,,,,,,,0.2573350050006411,0.056331627998588374,,,,,
clean_deadline__log1p,clean_deadline,log1p,random_forest,False,False,124.7511728771213,30.924262604429185,,,,,,,,4.164892253000289,0.9510692200001358,,,,,
clean_deadline__log1p,clean_deadline,log1p,extra_trees,False,False,124.00321140173048,32.32767988830854,,,,,,,,4.505135087998497,1.0368774069993378,,,,,
clean_deadline__log1p,clean_deadline,log1p,gradient_boosting,False,False,128.50921285057908,29.47810234261329,,,,,,,,3.6816900440007885,0.8498915600011969,,,,,
clean_deadline__log1p,clean_deadline,log1p,hist_gradient_boosting,True,False,120.7781778910755,30.21563671383832,59.67291748561787,131.6800182536083,0.2967557778323766,29.037801192648956,0.07207207207207207,0.16216216216216217,0.22522522522522523,5.1318623469996965,1.4261811420001322,196824,56.98537799980841,9.843374065003445,9.921003999806999,18.037844300033612
