query,target_judul,kategori,sumber
kerjain review lecture notes,Review lecture notes,Academic,synthetic_user_query
mulai review lecture notes,Review lecture notes,Academic,synthetic_user_query
kerjain prepare for exam,Prepare for exam,Academic,synthetic_user_query
mulai prepare for exam,Prepare for exam,Academic,synthetic_user_query
kerjain study chapter,Study chapter,Academic,synthetic_user_query
mulai study chapter,Study chapter,Academic,synthetic_user_query
kerjain make flashcards,Make flashcards,Academic,synthetic_user_query
mulai make flashcards,Make flashcards,Academic,synthetic_user_query
kerjain practice mathematics,Practice mathematics,Academic,synthetic_user_query
mulai practice mathematics,Practice mathematics,Academic,synthetic_user_query
kerjain practice programming,Practice programming,Academic,synthetic_user_query
mulai practice programming,Practice programming,Academic,synthetic_user_query
kerjain debug assignment code,Debug assignment code,Academic,synthetic_user_query
mulai debug assignment code,Debug assignment code,Academic,synthetic_user_query
kerjain read research paper,Read research paper,Academic,synthetic_user_query
mulai read research paper,Read research paper,Academic,synthetic_user_query
kerjain find research sources,Find research sources,Academic,synthetic_user_query
mulai find research sources,Find research sources,Academic,synthetic_user_query
kerjain create bibliography,Create bibliography,Academic,synthetic_user_query
mulai create bibliography,Create bibliography,Academic,synthetic_user_query
kerjain write literature review,Write literature review,Academic,synthetic_user_query
mulai write literature review,Write literature review,Academic,synthetic_user_query
kerjain choose thesis topic,Choose thesis topic,Academic,synthetic_user_query
mulai choose thesis topic,Choose thesis topic,Academic,synthetic_user_query
kerjain prepare supervisor meeting,Prepare supervisor meeting,Academic,synthetic_user_query
mulai prepare supervisor meeting,Prepare supervisor meeting,Academic,synthetic_user_query
kerjain plan research project,Plan research project,Academic,synthetic_user_query
mulai plan research project,Plan research project,Academic,synthetic_user_query
kerjain write abstract,Write abstract,Academic,synthetic_user_query
mulai write abstract,Write abstract,Academic,synthetic_user_query
kerjain write introduction,Write introduction,Academic,synthetic_user_query
mulai write introduction,Write introduction,Academic,synthetic_user_query
kerjain write discussion,Write discussion,Academic,synthetic_user_query
mulai write discussion,Write discussion,Academic,synthetic_user_query
kerjain format assignment,Format assignment,Academic,synthetic_user_query
mulai format assignment,Format assignment,Academic,synthetic_user_query
kerjain submit assignment,Submit assignment,Academic,synthetic_user_query
mulai submit assignment,Submit assignment,Academic,synthetic_user_query
kerjain catch up missed class,Catch up missed class,Academic,synthetic_user_query
mulai catch up missed class,Catch up missed class,Academic,synthetic_user_query
