judul,deskripsi,langkah,sumber,kategori,jumlah_langkah,langkah_pertama,profil_dekomposisi,catatan_adhd
Review lecture notes,review material from a recent class,Open the notes for the target lecture|Scan the headings and mark the three most important topics|Review one topic at a time|Write down anything you still cannot explain|Test yourself with three questions,manual_curated,Academic,5,Open the notes for the target lecture,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare for exam,prepare for an upcoming exam,Check the exam scope and list the topics|Mark the topics you know least|Review one weak topic first|Do a short set of practice questions|Review mistakes and update the study list,manual_curated,Academic,5,Check the exam scope and list the topics,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Study chapter,study one textbook chapter,Open the assigned chapter|Read the headings and learning objectives|Read one section at a time and note the key idea|Answer the review questions|Write a five-line summary,manual_curated,Academic,5,Open the assigned chapter,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Make flashcards,create flashcards from study material,Open the material you want to study|Choose the key terms or concepts|Write one question and answer per card|Remove cards that are too vague or duplicate|Test the cards once,manual_curated,Academic,5,Open the material you want to study,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Practice mathematics,practice a set of math problems,Open the assigned problem set|Choose the first easy problem|Solve the next few problems without checking the answer|Mark each problem you could not finish|Review the method for the marked problems,manual_curated,Academic,5,Open the assigned problem set,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Practice programming,practice a programming exercise,Open the exercise and identify the required output|Write the smallest starting version of the program|Run it with one simple test case|Fix the first error you encounter|Add more test cases,manual_curated,Academic,5,Open the exercise and identify the required output,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Debug assignment code,fix errors in an assignment program,Run the program and reproduce the error|Read the first error message carefully|Find the line or function related to it|Make one small change and run the test again|Repeat until the original error is resolved,manual_curated,Academic,5,Run the program and reproduce the error,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Read research paper,read a research paper for a project,Open the paper and read the title and abstract|Read the conclusion to identify the main finding|Find the sections relevant to your question|Write three useful points in your notes|Save the citation information,manual_curated,Academic,5,Open the paper and read the title and abstract,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Find research sources,find sources for an academic assignment,Write the exact question you need sources for|Search for papers using two or three focused keywords|Open the most relevant results|Check the abstract and publication details|Save the useful sources with their citations,manual_curated,Academic,5,Write the exact question you need sources for,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Create bibliography,create a bibliography for an assignment,Collect the sources you actually used|Check the author title and publication details|Choose the required citation style|Format each source consistently|Check that every in-text citation has a matching entry,manual_curated,Academic,5,Collect the sources you actually used,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write literature review,write a literature review section,Define the research question for the section|Group sources by theme or finding|Write one sentence describing each group|Compare agreements and differences between sources|Draft the synthesis and add citations,manual_curated,Academic,5,Define the research question for the section,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Choose thesis topic,choose a thesis topic,List three areas you are interested in|Write one possible problem for each area|Check whether sources and data are available|Compare the scope and feasibility|Choose one topic to discuss with your supervisor,manual_curated,Academic,5,List three areas you are interested in,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare supervisor meeting,prepare for a thesis supervisor meeting,Review the last feedback or meeting notes|List the work completed since then|Write the three questions you need answered|Prepare the document or evidence to discuss|Put the meeting materials in one place,manual_curated,Academic,5,Review the last feedback or meeting notes,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Plan research project,plan an academic research project,Write the research question|List the main deliverables|Identify the data or sources required|Put the deliverables in a logical order|Assign target dates to the major stages,manual_curated,Academic,5,Write the research question,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write abstract,write an abstract for a paper,Write one sentence describing the problem|Write one sentence describing the method|Write one sentence describing the main result|Write one sentence stating the implication|Combine the sentences and remove unnecessary detail,manual_curated,Academic,5,Write one sentence describing the problem,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write introduction,write an academic introduction,Write the topic and context in one paragraph|State the problem or gap|Add the key evidence from relevant sources|State the research objective or question|Read the introduction for logical flow,manual_curated,Academic,5,Write the topic and context in one paragraph,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Write discussion,write the discussion section of a paper,List the main findings|Compare each finding with relevant literature|Explain possible reasons for agreements or differences|State the practical or theoretical implications|Add limitations and a closing interpretation,manual_curated,Academic,5,List the main findings,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Format assignment,format an assignment to match requirements,Open the assignment requirements|Check the required structure and file format|Apply headings and spacing consistently|Check references and page elements|Export or save the final version,manual_curated,Academic,5,Open the assignment requirements,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Submit assignment,submit an assignment,Open the submission instructions|Check that the final file is the correct version|Confirm the required format and filename|Upload the file|Verify that the submission was recorded,manual_curated,Academic,5,Open the submission instructions,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Catch up missed class,catch up after missing a class,Find the material for the missed session|Check the syllabus for what was covered|Read the main notes or slides|Ask a classmate about announcements or assignments|Write down the topics you still need to review,manual_curated,Academic,5,Find the material for the missed session,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Organize study files,organize academic files,Open the folder containing the files|Create folders by course or semester|Move files into the correct folders|Rename unclear files consistently|Check that important files open correctly,manual_curated,Academic,5,Open the folder containing the files,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Prepare group assignment,prepare your part of a group assignment,Read the group instructions|Confirm your assigned section|Check the format used by the group|Complete the smallest part of your section first|Send the completed section to the group,manual_curated,Academic,5,Read the group instructions,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
Rehearse presentation,rehearse an academic presentation,Open the final slide deck|Read through the slide order once|Practice explaining the first three slides aloud|Continue through the remaining slides|Note the two parts that need another rehearsal,manual_curated,Academic,5,Open the final slide deck,small_first_action,First action is concrete and low-friction; later steps expand only after initiation.
