row_id,tugas,source_group_id,has_deadline,deadline_days_or_zero,importance,estimated_duration_minutes,quantity_available,quantity_value,unit_type,action_type,task_category,complexity_indicator,complexity_analysis,complexity_research,complexity_revision,complexity_long_form,complexity_completion,complexity_learning,scope_all,scope_multiple,scope_each,scope_complete,n_token,extractor_version
dur_0000,rapikan folder project,grp_a2c49f90fe,1,20.0,5.0,24.0,0,0.0,file,membersihkan,pekerjaan,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0001,tulis abstrak paper,grp_c0b94a98d1,1,7.0,9.0,60.0,0,0.0,dokumen,menulis,lainnya,long_form,0,0,0,1,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0002,bersihkan wastafel kamar mandi,grp_7417c02c3b,1,2.0,7.0,24.0,0,0.0,<missing>,membersihkan,rumah,<missing>,0,0,0,0,0,0,0,0,0,0,4,duration-text-rules-v3
dur_0003,bersihkan debu kipas langit-langit,grp_0b9b4c3e92,1,13.0,4.0,12.0,0,0.0,<missing>,membersihkan,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,4,duration-text-rules-v3
dur_0004,beli deterjen,grp_e4f94600d5,1,16.0,8.0,30.0,0,0.0,<missing>,transaksi,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0005,buang sampah di kamar mandi,grp_46f12677e0,1,3.0,7.0,6.0,0,0.0,<missing>,membersihkan,rumah,<missing>,0,0,0,0,0,0,0,0,0,0,5,duration-text-rules-v3
dur_0006,potong kuku kaki,grp_30438bcca5,1,7.0,4.0,15.0,0,0.0,<missing>,<missing>,kesehatan,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0007,siapkan tas gym,grp_8c9d9db8c5,1,1.0,2.0,6.0,0,0.0,<missing>,mengorganisir,olahraga,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0008,tidur siang,grp_607ad48a73,0,0.0,3.0,30.0,0,0.0,<missing>,perawatan,kesehatan,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0009,masak pasta,grp_e53a9be247,1,4.0,5.0,30.0,0,0.0,<missing>,membuat,rumah,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0010,siapkan salad,grp_2c158d4d69,1,1.0,6.0,12.0,0,0.0,<missing>,mengorganisir,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0011,rapikan rak bumbu,grp_47f19a7fd1,0,0.0,1.0,15.0,0,0.0,<missing>,membersihkan,rumah,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0012,panggang sayuran,grp_2a6fa3c136,1,2.0,5.0,24.0,0,0.0,<missing>,membuat,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0013,dengarkan playlist kiriman teman,grp_fc6ab62606,0,0.0,3.0,45.0,0,0.0,<missing>,menonton,pribadi,<missing>,0,0,0,0,0,0,0,0,0,0,4,duration-text-rules-v3
dur_0014,buat board pinterest,grp_0b4148553b,0,0.0,1.0,60.0,0,0.0,<missing>,membuat,pribadi,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0015,kirim permintaan pembayaran venmo untuk makan malam,grp_fcd2021b77,1,4.0,9.0,6.0,0,0.0,<missing>,mengirim,kesehatan,<missing>,0,0,0,0,0,0,0,0,0,0,7,duration-text-rules-v3
dur_0016,atur jadwal brunch dengan teman,grp_e98214efe5,1,3.0,6.0,12.0,0,0.0,<missing>,mengorganisir,sosial,<missing>,0,0,0,0,0,0,0,0,0,0,5,duration-text-rules-v3
dur_0017,baca bacaan kuliah,grp_4261098f68,1,7.0,7.0,30.0,0,0.0,<missing>,membaca,akademik,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0018,atur jadwal bertemu dosen pembimbing,grp_c0225e8fb3,1,18.0,8.0,6.0,0,0.0,<missing>,mengorganisir,akademik,<missing>,0,0,0,0,0,0,0,0,0,0,5,duration-text-rules-v3
dur_0019,cuci gelas kopi,grp_038a897e7f,1,1.0,8.0,6.0,0,0.0,<missing>,membersihkan,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0020,buang surat sampah/junk mail,grp_2d5734756d,0,0.0,1.0,9.0,0,0.0,<missing>,membersihkan,rumah,<missing>,0,0,0,0,0,0,0,0,0,0,5,duration-text-rules-v3
dur_0021,rapikan tempat tidur,grp_d0b1579690,1,0.0,3.0,6.0,0,0.0,<missing>,membersihkan,kesehatan,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0022,cuci tas makeup,grp_09de9c7a01,1,2.0,4.0,12.0,0,0.0,<missing>,membersihkan,pribadi,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0023,jalan-jalan di taman,grp_bffa63f015,0,0.0,1.0,45.0,0,0.0,<missing>,<missing>,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0024,lap laci kulkas,grp_5d8d04f0a8,1,3.0,4.0,15.0,0,0.0,<missing>,membersihkan,rumah,<missing>,0,0,0,0,0,0,0,0,0,0,3,duration-text-rules-v3
dur_0025,merebus telur,grp_deeda7eac3,1,1.0,5.0,6.0,0,0.0,<missing>,membuat,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0026,latihan fotografi,grp_fedb064cc9,0,0.0,2.0,60.0,0,0.0,<missing>,belajar,pribadi,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
dur_0027,coba resep chiffon cake,grp_70e340a8a9,0,0.0,1.0,60.0,0,0.0,<missing>,<missing>,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,4,duration-text-rules-v3
dur_0028,buat post instagram spring break,grp_1cefb14635,0,0.0,1.0,30.0,0,0.0,<missing>,membuat,pribadi,<missing>,0,0,0,0,0,0,0,0,0,0,5,duration-text-rules-v3
dur_0029,potong poni,grp_b932670132,0,0.0,2.0,15.0,0,0.0,<missing>,<missing>,lainnya,<missing>,0,0,0,0,0,0,0,0,0,0,2,duration-text-rules-v3
